Year,Algorithm,OpenETirrigationLEMA_m3,OpenETirrigationLEMAPeff_m3
2016,disalexi,22802329,32141157.1
2016,eemetric,40010071.1,49370034.3
2016,ensemble,32213207,41573073.7
2016,geesebal,20889663.7,30217432
2016,ptjpl,28326078.1,37685560.6
2016,sims,49795009.3,59155441.8
2016,ssebop,29367429.3,38720542.9
2017,disalexi,5609718.1,23564271.6
2017,eemetric,16787291,35845545.2
2017,ensemble,7942946,26707044.3
2017,geesebal,1869473.5,16885502.1
2017,ptjpl,6186210,24933299.5
2017,sims,28844615.1,48080351.7
2017,ssebop,4865696.6,22069238.6
2018,disalexi,26452763.5,41336207.5
2018,eemetric,21877863.9,36757138
2018,ensemble,20696246,35579512.2
2018,geesebal,13421946.4,28198943.6
2018,ptjpl,18294176,33177492.1
2018,sims,36871347.4,51754014.6
2018,ssebop,13040036,27621185.2
2019,disalexi,2350449.6,22180869.3
2019,eemetric,5074703.2,26371062.1
2019,ensemble,1247545.3,20171697.8
2019,geesebal,18255.2,8396053.3
2019,ptjpl,276330.5,17707048.2
2019,sims,19014963,42515466.2
2019,ssebop,696814.5,16169121.9
2020,disalexi,48590504.3,48590504.3
2020,eemetric,63392133.8,63392133.8
2020,ensemble,53561258.3,53561258.3
2020,geesebal,48343139.7,48343139.7
2020,ptjpl,51942597.4,51942597.4
2020,sims,68028764.7,68028764.7
2020,ssebop,46316028.5,46316028.5
