Year,Algorithm,OpenETirrigationLEMA_m3,OpenETirrigationLEMAPeff_m3
2016,disalexi,18092368.6,25010004.4
2016,eemetric,31134479.4,38051653.8
2016,ensemble,25256885.2,32173927.1
2016,geesebal,16793946.9,23693221.8
2016,ptjpl,21781109.7,28697876.4
2016,sims,37941243.8,44858740.1
2016,ssebop,23854503.8,30771600.5
2017,disalexi,4543019.3,17040603.6
2017,eemetric,12891552.5,25885486.5
2017,ensemble,6282851.3,19160614.3
2017,geesebal,1602420.5,12583568.6
2017,ptjpl,4659983.3,17499234.7
2017,sims,20080216,33076075.5
2017,ssebop,4277177.5,16551363.4
2018,disalexi,21859692,33588850.6
2018,eemetric,18647023.5,30375786.4
2018,ensemble,17250449.3,28979328
2018,geesebal,11597165.8,23316132.3
2018,ptjpl,14904047.8,26632964.1
2018,sims,29279276.7,41007835.9
2018,ssebop,11501855,23098632.2
2019,disalexi,2107251,18067487.5
2019,eemetric,4557593.9,21845567.1
2019,ensemble,1121330.3,16616968.5
2019,geesebal,8484.3,7174733.8
2019,ptjpl,228868.6,14371376
2019,sims,15520472.9,34066368.8
2019,ssebop,645309.4,13769520.9
2020,disalexi,40491887.7,40491887.7
2020,eemetric,53167005.9,53167005.9
2020,ensemble,44450758.7,44450758.7
2020,geesebal,40128403.6,40128403.6
2020,ptjpl,42791923.5,42791923.5
2020,sims,55769806.9,55769806.9
2020,ssebop,39006497.8,39006497.8
