Year,Algorithm,OpenETirrigationLEMA_m3,OpenETirrigationLEMAPeff_m3
2016,disalexi,16232589,26663358.9
2016,eemetric,31900352.8,42416003.1
2016,ensemble,25482963.5,36001567.5
2016,geesebal,14467903.5,24870810.5
2016,ptjpl,21329620,31849500.7
2016,sims,40816962.1,51336774.2
2016,ssebop,25930695.7,36438909.9
2017,disalexi,4177634.2,21732934.7
2017,eemetric,10913440.3,29688261.8
2017,ensemble,7299095.6,26010707.7
2017,geesebal,2196744.7,17979870.8
2017,ptjpl,6535102.7,25404419.8
2017,sims,24730208.7,43986275.7
2017,ssebop,5702049.1,23632641
2018,disalexi,23490514.7,36291790.9
2018,eemetric,26008927.9,38810080.8
2018,ensemble,21945401.3,34746888.8
2018,geesebal,15111748.7,27834983
2018,ptjpl,18202863.2,31004152.4
2018,sims,35557743.6,48359303.6
2018,ssebop,18108782.3,30873024.7
2019,disalexi,1454758.6,19512475.3
2019,eemetric,7797763.2,28884223.3
2019,ensemble,2466482.1,21915313.6
2019,geesebal,41392.9,10917166.4
2019,ptjpl,913754.8,19276818.7
2019,sims,18807383.4,40880292.4
2019,ssebop,3732196.3,22938854.5
2020,disalexi,44776590,44776590
2020,eemetric,61702019.4,61702019.4
2020,ensemble,51325170.6,51325170.6
2020,geesebal,45680874.7,45680874.7
2020,ptjpl,49594848.4,49594848.4
2020,sims,63451809.9,63451809.9
2020,ssebop,49021744.7,49021744.7
