Year,Algorithm,OpenETirrigationLEMA_m3,OpenETirrigationLEMAPeff_m3,OpenETirrigationLEMAPeffRFadj_m3
2016,disalexi,13193509.2,20940039.3,7762950.7
2016,eemetric,25318310.5,33089153.6,13361234.2
2016,ensemble,20306528.1,28077406.3,9848597.6
2016,geesebal,11828005.6,19532701.3,9793757
2016,ptjpl,16621338.3,24391920.6,4559627.4
2016,sims,31442557.6,39212942.3,9284308.3
2016,ssebop,21327890.1,29095577,13239800.2
2017,disalexi,3528530.4,15873587.2,8930180.1
2017,eemetric,8804280.7,21746270.9,11616277.6
2017,ensemble,5872044.7,18755043.5,8381277.5
2017,geesebal,1883373.1,13359776.4,9049767.8
2017,ptjpl,5007693.6,17917091.6,5991808.8
2017,sims,17418935.6,30434341.6,5383982.4
2017,ssebop,5025578.7,17625977.9,10100160.4
2018,disalexi,19568318.7,29707739,11817064.9
2018,eemetric,21987618.5,32126707.8,13926196.9
2018,ensemble,18227902.2,28367261.2,10722135.9
2018,geesebal,12853628,22940739.7,10498378.3
2018,ptjpl,14839020.8,24978263.8,6401463.5
2018,sims,28259979.3,38399423.5,6474377.9
2018,ssebop,15541992.9,25664559,13971365.8
2019,disalexi,1350691.4,16109743.7,7769616.5
2019,eemetric,7049188,23940804.1,10476820.1
2019,ensemble,2273851.1,18043087,6957673.2
2019,geesebal,28789.2,9268849.6,6693513.7
2019,ptjpl,799808.1,15653385.8,3732495.7
2019,sims,15368168.1,32785916.3,5284129.3
2019,ssebop,3458108.7,19218525.8,9588871.3
2020,disalexi,37425406.3,37425406.3,13359283.1
2020,eemetric,51702632.5,51702632.5,16688111.1
2020,ensemble,42607097.5,42607097.5,12922330.5
2020,geesebal,37970329.7,37970329.7,11848995.4
2020,ptjpl,40923238.8,40923238.8,10850826.9
2020,sims,52055144.9,52055144.9,10914539
2020,ssebop,41093672,41093672,15756728.2
